Weights,Ambient Temperature,Electricity Tariff,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,Average IQB,Total IQB,Total Reward,Total Electric Cost,Total Gas Cost,Total Water Cost,Total Bath Cost
"0.05577659,0.0,0.9442234,0.0",15.0,1.0,3.2364678191836915e-07,0.004232424157398035,0.2641054388381234,0.9089338132890594,0.33409897332117994,0.8690677435272107,0.9434689911323705,0.4748439582731606,3.323907707912124,[ 3.3239 -0.2507 -0.3676 -1.1261],0.25066489162509525,1.1260638297872338,0.36758102526179637,1.7443097466741255
"0.05577659,0.0,0.9442234,0.0",16.0,1.0,1.3905264158610417e-07,0.07330368646028791,0.7903738754273087,0.3665545511537274,0.9067741879967589,0.36787929936684166,0.8992133270522522,0.4862998666442598,3.4040990665098185,[ 3.4041 -0.2999 -0.2807 -0.8873],0.29986883506644885,0.8872765957446807,0.2806884393032614,1.467833870114391
"0.05577659,0.0,0.9442234,0.0",17.0,1.0,1.7687500191568275e-09,0.1261159822782882,0.5902615013922855,0.8611322227957038,0.3678793050707409,0.8260698366969282,0.36787929893720034,0.44847687841998524,3.139338148939897,[ 3.1393 -0.2787 -0.278  -0.8768],0.27867531171684146,0.8767872340425531,0.27796354596000383,1.4334260917193984
"0.05577659,0.0,0.9442234,0.0",18.0,1.0,2.6211848198946023e-10,0.47841934361180066,0.9527567698307221,0.367879335624267,0.7882272596805511,0.36787930743880903,0.7802300234713723,0.5336274342742343,3.7353920399196405,[ 3.7354 -0.3571 -0.2205 -0.738 ],0.3571271858517957,0.7379574468085106,0.2204971419180549,1.3155817745783611
"0.05577659,0.0,0.9442234,0.0",19.0,1.0,4.8892942295629495e-11,0.49467838295592426,0.9352196580865073,0.367879344734821,0.83914596365911,0.3678793287301986,0.8324581612898118,0.5481801199293236,3.8372608395052654,[ 3.8373 -0.3303 -0.2128 -0.7065],0.3303430277670275,0.7064893617021275,0.21281351365511111,1.2496459031242662
"0.05577659,0.0,0.9442234,0.0",20.0,1.0,6.627763139177218e-11,0.48329194259564684,0.9647685271752975,0.3678793627616767,0.9465980518654111,0.36787935870961025,0.9424893941364968,0.5818438053300595,4.072906637310417,[ 4.0729 -0.3133 -0.2111 -0.6837],0.31332310674447406,0.683659574468085,0.2110980385313432,1.2080807197439023
"0.05577659,0.0,0.9442234,0.0",21.0,1.0,2.4585806001253536e-08,0.47912820977081305,0.9505767260603856,0.36787937212335436,0.9746153972698857,0.3678793759060718,0.971652105391683,0.5873901730154285,4.111731211107999,[ 4.1117 -0.29   -0.2058 -0.6454],0.2900098099298785,0.6454042553191488,0.20577053179054244,1.1411845970395698
"0.05577659,0.0,0.9442234,0.0",22.0,1.0,0.003463789006431526,0.8892023837151798,0.36787941981557837,0.9591145767404273,0.3678793842735606,0.9549900022087123,0.3678793833822225,0.5586298484488733,3.910408939142113,[ 3.9104 -0.2548 -0.1627 -0.5251],0.2548201038896909,0.5250851063829787,0.16274606342344516,0.9426512736961148
"0.05577659,0.0,0.9442234,0.0",23.0,1.0,0.04900002459251624,0.6117712451027852,0.9685019895505015,0.8995268090644623,0.9009729092208644,0.9016983756915203,0.9019281954481373,0.7476285069529697,5.233399548670787,[ 5.2334 -0.1815 -0.2234 -0.6275],0.18150000000000005,0.6275106382978722,0.2234480969411105,1.032458735238983
"0.05577659,0.0,0.9442234,0.0",24.0,1.0,0.10428625851111238,0.8789995434842663,0.9803515166284674,0.9376976778218973,0.937555932895447,0.9374199597519474,0.9373881411730481,0.8162427186094552,5.713699030266186,[ 5.7137 -0.1815 -0.2205 -0.5911],0.18150000000000005,0.5911063829787234,0.22053606522041144,0.993142448199135
