Weights,Ambient Temperature,Electricity Tariff,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,Average IQB,Total IQB,Total Reward,Total Electric Cost,Total Gas Cost,Total Water Cost,Total Bath Cost
"0.0,1.0,0.0,0.0",15.0,1.0,2.237903988321599e-06,0.0004029172654305171,0.0015320037007413342,0.5204753579164426,0.17531994093646783,0.7399177032993197,0.08657350071257086,0.21774623739070872,1.5242236617349612,[ 1.5242 -0.1053 -0.3239 -1.0761],0.1053021661425124,1.0760851063829784,0.32393374119293583,1.5053210137184267
"0.0,1.0,0.0,0.0",16.0,1.0,1.0395363854977136e-05,0.0005429639014798146,0.4737387020377613,0.8939161449325451,0.1338298273562742,0.9432283898896587,0.1585087463381154,0.3719678814028128,2.6037751698196896,[ 2.6038 -0.1851 -0.3017 -0.9613],0.1850584018182587,0.9613191489361701,0.30165071115915876,1.4480282619135876
"0.0,1.0,0.0,0.0",17.0,1.0,4.355863550022849e-05,0.0042670691947748925,0.5460175854260111,0.48181213052383287,0.10863329918809915,0.9004220207706535,0.13646629325093462,0.3110945652842581,2.1776619569898066,[ 2.1777 -0.1489 -0.2997 -0.9373],0.14891857693831098,0.9372553191489359,0.29972232309000646,1.3858962191772535
"0.0,1.0,0.0,0.0",18.0,1.0,0.00015799248394837405,0.015753643939994028,0.6114661636896045,0.24634520110978364,0.9357183530874794,0.15076191922411789,0.9638517082228932,0.4177221402511173,2.924054981757821,[ 2.9241 -0.109  -0.2954 -0.9224],0.10895787098282583,0.9224468085106382,0.2954366299600521,1.326841309453516
"0.0,1.0,0.0,0.0",19.0,1.0,4.0736503604871574e-06,0.3198202771759084,1.0,0.18782556018483776,0.9610138295251396,0.16331524225129435,0.9577495467909211,0.5128183613683517,3.5897285295784616,[ 3.5897 -0.2059 -0.2527 -0.7849],0.20594560799756673,0.7848510638297871,0.25267588288519727,1.2434725547125511
"0.0,1.0,0.0,0.0",20.0,1.0,6.685564385973465e-06,0.4537230005220084,0.9710333551895716,0.18661137203345804,1.0,0.20510476102628147,1.0,0.5452113106193865,3.8164791743357056,[ 3.8165 -0.1809 -0.2504 -0.7651],0.18089769004296363,0.7651063829787231,0.2504329691475768,1.1964370421692636
"0.0,1.0,0.0,0.0",21.0,1.0,4.9560612862006285e-06,0.5354891735623801,0.6623944349361678,0.45175825691075805,0.9412377774701466,0.23342553389166912,1.0,0.5463300189760583,3.824310132832408,[ 3.8243 -0.1532 -0.2453 -0.7441],0.153156357889603,0.7441276595744678,0.24527988559354835,1.1425639030576191
"0.0,1.0,0.0,0.0",22.0,1.0,2.4091854278933343e-05,0.5746655386992162,0.6139826401263692,1.0,0.4520385601786891,1.0,0.4190689436874172,0.5799685392208529,4.05977977454597,[ 4.0598 -0.1229 -0.2348 -0.6966],0.12285172667080933,0.6966170212765957,0.23479499379282454,1.0542637417402296
"0.0,1.0,0.0,0.0",23.0,1.0,0.02864831307245362,0.7997660277769079,1.0,0.9550581703883618,0.9549095949944354,0.9546697406837685,0.9547262717687806,0.8068254455263869,5.647778118684708,[ 5.6478 -0.1815 -0.2316 -0.6547],0.18150000000000005,0.654659574468085,0.23159753999197855,1.0677571144600635
"0.0,1.0,0.0,0.0",24.0,1.0,0.07889222731874185,0.9892767362306844,1.0,1.0,1.0,1.0,1.0,0.8668812805070608,6.068168963549426,[ 6.0682 -0.1815 -0.2387 -0.6312],0.18150000000000005,0.6312127659574467,0.2387087634678859,1.0514215294253326
"0.0,1.0,0.0,0.0",25.0,1.0,0.13481779884268172,0.9330310710227586,1.0,0.9965269563015462,0.9969123027253898,0.9970478161239746,0.9971509648437447,0.8650695585514423,6.055486909860096,[ 6.0555 -0.1815 -0.2518 -0.6244],0.18150000000000005,0.6244255319148936,0.2517824436930707,1.0577079756079644
"0.0,1.0,0.0,0.0",26.0,1.0,0.1997887623800728,0.8495351785586239,0.9500284073776837,0.9523111064607815,0.953127960939462,0.9536017263679257,0.9538680322299453,0.8303230249020707,5.812261174314495,[ 5.8123 -0.1811 -0.2628 -0.6047],0.18108467373089748,0.6046808510638297,0.2627962324492687,1.048561757243996
