Weights,Ambient Temperature,Electricity Tariff,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,Average IQB,Total IQB,Total Reward,Total Electric Cost,Total Gas Cost,Total Water Cost,Total Bath Cost
"0.0,0.0,1.0,0.0",15.0,1.0,1.9208353949117184e-33,0.01363066697291426,0.6439219639616661,0.1978338045415754,0.002814021245103166,0.5210592777989613,0.3678792185129864,0.24959127900474384,1.7471389530332069,[ 1.7471 -0.3266 -0.2017 -0.7787],0.32664695804625865,0.7786808510638297,0.20169315019287304,1.3070209593029611
"0.0,0.0,1.0,0.0",16.0,1.0,2.4176887678202994e-28,0.04034027507325687,0.6752445210874765,0.36787926122081743,0.3678789228437902,0.3678785268559032,0.3547498648972473,0.31056733885407023,2.1739713719784914,[ 2.174  -0.2942 -0.1609 -0.7293],0.29422960667018655,0.72931914893617,0.16093190711837857,1.184480662724735
"0.0,0.0,1.0,0.0",17.0,1.0,5.469144086641005e-21,0.08862994347893953,0.6869757954201489,0.36787927570409745,0.3678789659494703,0.3678786046894881,0.3678782356723574,0.3210172601306431,2.2471208209145015,[ 2.2471 -0.2564 -0.1563 -0.659 ],0.25635329500568876,0.6589787234042552,0.15630840886681655,1.0716404272767606
"0.0,0.0,1.0,0.0",18.0,1.0,4.216742142148705e-14,0.20232734205309785,0.00964631837745567,0.36787896636538286,0.36787863563889905,0.3678783021188688,0.7504133162088671,0.29514612582323047,2.0660228807626133,[ 2.066  -0.1815 -0.1938 -0.6436],0.18150000000000005,0.6435531914893615,0.19378337207208496,1.0188365635614465
"0.0,0.0,1.0,0.0",19.0,1.0,8.08907974097286e-09,0.34937513719673396,0.36787923863008065,0.36787896644946383,0.3678786656887556,0.36787836641294236,0.367878085235712,0.312681209671824,2.188768467702768,[ 2.1888 -0.1814 -0.1331 -0.5553],0.18142359319123105,0.5553191489361701,0.1330513192663198,0.869794061393721
"0.0,0.0,1.0,0.0",20.0,1.0,0.00015855933492057593,0.8305776652125834,0.3678793559085219,0.3678791377216569,0.3678788754092176,0.36787860372761266,0.3678783425228987,0.38144721997677306,2.6701305398374116,[ 2.6701 -0.2978 -0.1147 -0.4535],0.29779539450741155,0.45351063829787225,0.11474030852593103,0.8660463413312149
"0.0,0.0,1.0,0.0",21.0,1.0,0.0055405433266121,0.9194415382638492,0.36787937934967724,0.3678791889371356,0.3678789564467507,0.36787871400327204,0.36787848002473233,0.39491097147886134,2.7643768003520295,[ 2.7644 -0.2813 -0.1177 -0.4288],0.2813268650205865,0.4288297872340424,0.11768591512385287,0.8278425673784818
"0.0,0.0,1.0,0.0",22.0,1.0,0.0632789724514193,0.930012158023511,0.367879378855172,0.36787920564776433,0.3678789981097641,0.3678787834813855,0.3678785773024034,0.40466943912448855,2.83268607387142,[ 2.8327 -0.2685 -0.1223 -0.4116],0.2684922014081169,0.41155319148936165,0.12229128614628987,0.8023366790437685
"0.0,0.0,1.0,0.0",23.0,1.0,0.11906284338424065,0.1286467480470694,0.3678792534777734,0.36787907259700664,0.36787888384755424,0.36787870162065583,0.3678785335336595,0.2981577195011371,2.08710403650796,[ 2.0871 -0.2492 -0.1094 -0.3881],0.24917526294903766,0.3881063829787233,0.1094423265007805,0.7467239724285415
"0.0,0.0,1.0,0.0",24.0,1.0,0.19394143001402311,0.05110232980051733,0.5790902130003195,0.36787936094444756,0.36787921626089015,0.3678790536967189,0.3678788905837265,0.3279500706143776,2.2956504943006433,[ 2.2957 -0.1815 -0.1201 -0.3992],0.18150000000000005,0.3992127659574467,0.1201151679028336,0.7008279338602803
"0.0,0.0,1.0,0.0",25.0,1.0,0.28047583389348757,0.05918426105465307,0.287100279553422,0.36787932315388955,0.3678791889807942,0.367879047218431,0.36787890942188456,0.2997538347537945,2.0982768432765617,[ 2.0983 -0.1815 -0.1088 -0.3529],0.18150000000000005,0.35293617021276585,0.10876075647125838,0.6431969266840243
"0.0,0.0,1.0,0.0",26.0,1.0,0.36836442250186857,0.36410003441547123,0.36787922715574384,0.36787910634243814,0.36787898915980266,0.3678788807572935,0.36787878348839753,0.36740849197443076,2.5718594438210154,[ 2.5719 -0.1815 -0.0835 -0.3067],0.18150000000000005,0.306659574468085,0.08345486376873755,0.5716144382368226
"0.0,0.0,1.0,0.0",27.0,1.0,0.4232810273523947,0.36787936959547013,0.36787927394015707,0.36787917246092083,0.3678790736037085,0.3678789819085184,0.36787889948374725,0.3757936854778453,2.630555798344917,[ 2.6306 -0.1665 -0.0635 -0.2616],0.16653289785794997,0.26161702127659564,0.06350122569592377,0.49165114483046934
"0.0,0.0,1.0,0.0",28.0,1.0,0.30330463544216074,0.3678011307631204,0.36787927572195683,0.36787919209517406,0.3678791124317873,0.367879039567541,0.3674415413587691,0.3585805610543585,2.5100639273805094,[ 2.5101 -0.1562 -0.0488 -0.2468],0.15620694666889307,0.2468085106382978,0.04879419824771635,0.45180965555490726
"0.0,0.0,1.0,0.0",29.0,1.0,0.04161319003609033,0.8892771652969008,0.36787944900305586,0.3678793958173862,0.367879330721787,0.3677119124413245,0.3654153652082818,0.3953794012178324,2.7676558085248266,[ 2.7677 -0.1447 -0.0514 -0.2301],0.14473175929477453,0.2301489361702127,0.05139967694608198,0.42628037241106925
