Weights,Ambient Temperature,Electricity Tariff,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,Average IQB,Total IQB,Total Reward,Total Electric Cost,Total Gas Cost,Total Water Cost,Total Bath Cost
"1.0,0.0,0.0,0.0",15.0,1.0,7.760265660639567e-05,0.09266572365262193,0.41663503780195377,0.9719843775256061,0.953183720558679,0.9578422451057479,0.9486343036113264,0.6201461444160774,4.341023010912542,[ 4.341  -0.5013 -0.3997 -1.1896],0.5012673778938282,1.1896170212765957,0.39972170308999705,2.0906061022604208
"1.0,0.0,0.0,0.0",16.0,1.0,0.0002807571176578132,0.17761836413649534,0.936419389229995,0.9704371662441694,0.9682748749419509,0.9672039798121453,0.9666675804130249,0.7124145874136342,4.986902111895439,[ 4.9869 -0.4262 -0.3528 -1.0927],0.4262053127215608,1.092744680851064,0.35284028588585736,1.871790279458482
"1.0,0.0,0.0,0.0",17.0,1.0,0.0009162651460965926,0.29605257304531696,0.9802435282365745,0.9756638426085756,0.9820586132806018,0.981530004975239,0.981261713400246,0.742532362956093,5.197726540692651,[ 5.1977 -0.3994 -0.3467 -1.0434],0.3993910607018927,1.0433829787234044,0.34670531952472877,1.7894793589500257
"1.0,0.0,0.0,0.0",18.0,1.0,0.0026974149709609965,0.4219527597372165,0.9991299344162804,0.9920371695717964,0.9902803834279417,0.9893753456257137,0.9889147202601728,0.7691982468585833,5.384387728010083,[ 5.3844 -0.3688 -0.3348 -0.986 ],0.36877166481920537,0.986,0.33476769854081534,1.6895393633600206
"1.0,0.0,0.0,0.0",19.0,1.0,0.007116544318637145,0.40667936131197396,1.0,1.0,1.0,1.0,1.0,0.7733994150900872,5.413795905630611,[ 5.4138 -0.3403 -0.3366 -0.9428],0.3402999389331713,0.9428085106382978,0.3365947161962788,1.6197031657677479
"1.0,0.0,0.0,0.0",20.0,1.0,0.009930664625720405,0.38543806377461587,1.0,1.0,1.0,1.0,1.0,0.770766961200048,5.395368728400336,[ 5.3954 -0.3149 -0.3346 -0.891 ],0.31492049375081493,0.8909787234042554,0.3346076306776906,1.540506847832761
"1.0,0.0,0.0,0.0",21.0,1.0,0.004794768652838781,0.4280905646502712,1.0,1.0,1.0,1.0,1.0,0.7761264761861586,5.43288533330311,[ 5.4329 -0.283  -0.3321 -0.8503],0.28304833409200825,0.8502553191489362,0.3321418575015208,1.465445510742465
"1.0,0.0,0.0,0.0",22.0,1.0,0.020696759039497036,0.8026952024850146,1.0,1.0,1.0,0.9999719609991458,0.9998190979716045,0.8318832886421802,5.823183020495262,[ 5.8232 -0.2619 -0.2555 -0.7065],0.2619418068687299,0.7064893617021275,0.2554506679777632,1.2238818365486206
"1.0,0.0,0.0,0.0",23.0,1.0,0.05405136415994739,1.0,1.0,1.0,1.0,1.0,1.0,0.8648644805942782,6.054051364159948,[ 6.0541 -0.2415 -0.2516 -0.6676],0.2415152567669229,0.6676170212765957,0.2515953641649133,1.1607276422084318
"1.0,0.0,0.0,0.0",24.0,1.0,0.11921242501145074,1.0,1.0,1.0,1.0,1.0,1.0,0.8741732035730644,6.119212425011451,[ 6.1192 -0.1815 -0.2631 -0.6763],0.18150000000000005,0.6762553191489361,0.2631109124880435,1.1208662316369797
"1.0,0.0,0.0,0.0",25.0,1.0,0.2220480343989057,0.89925195300039,1.0,1.0,1.0,1.0,1.0,0.8744714267713279,6.121299987399295,[ 6.1213 -0.1815 -0.2556 -0.6232],0.18150000000000005,0.6231914893617021,0.2555999877939409,1.0602914771556429
"1.0,0.0,0.0,0.0",26.0,1.0,0.3492873772561862,0.9163363019484907,0.989497413789557,0.9912627829995875,0.9920724363393044,0.9924311797799648,0.9926308448726071,0.889074048140814,6.223518336985698,[ 6.2235 -0.1815 -0.2536 -0.58  ],0.18150000000000005,0.5800000000000001,0.2535824496835014,1.0150824496835016
"1.0,0.0,0.0,0.0",27.0,1.0,0.4696665857423434,0.9381535058010092,0.9641397710353813,0.9676450937986115,0.969291982571831,0.9700524094164711,0.970433720353555,0.892769009817029,6.249383068719203,[ 6.2494 -0.1681 -0.2455 -0.5331],0.16811192950519244,0.5331063829787233,0.24548518493527327,0.946703497419189
"1.0,0.0,0.0,0.0",28.0,1.0,0.580303166967811,0.9469575782901304,0.9523739187548503,0.9558535552812162,0.9574911215794741,0.9582819589190993,0.9586340777253871,0.9014136253597098,6.309895377517969,[ 6.3099 -0.1502 -0.2286 -0.477 ],0.1502188467291314,0.4769574468085106,0.22860468618987395,0.855780979727516
